'^(def|class)\\s+'	167,468,640,659,703,1322
'\n          # Match tail of: [text](/url/) or [text](/url/ "title")\n          \\(            # literal paren\n            [ \\t]*\n            (?P<url>            # \\1\n                <.*?>\n                |\n                .*?\n            )\n            [ \\t]*\n            (                   # \\2\n              ([\'"])            # quote char = \\3\n              (?P<title>.*?)\n              \\3                # matching quote\n            )?                  # title is optional\n          \\)\n        '	552,606,1223,1247,1420
'(native|alias|all|any|as-string|as-binary|bind|bound\\?|case|catch|checksum|comment|debase|dehex|exclude|difference|disarm|either|else|enbase|foreach|remove-each|form|free|get|get-env|if|in|intersect|loop|minimum-of|maximum-of|mold|new-line|new-line\\?|not|now|prin|print|reduce|compose|construct|repeat|reverse|save|script\\?|set|shift|switch|throw|to-hex|trace|try|type\\?|union|unique|unless|unprotect|unset|until|use|value\\?|while|compress|decompress|secure|open|close|read|read-io|write-io|write|update|query|wait|input\\?|exp|log-10|log-2|log-e|square-root|cosine|sine|tangent|arccosine|arcsine|arctangent|protect|lowercase|uppercase|entab|detab|connected\\?|browse|launch|stats|get-modes|set-modes|to-local-file|to-rebol-file|encloak|decloak|create-link|do-browser|bind\\?|hide|draw|show|size-text|textinfo|offset-to-caret|caret-to-offset|local-request-file|rgb-to-hsv|hsv-to-rgb|crypt-strength\\?|dh-make-key|dh-generate-key|dh-compute-key|dsa-make-key|dsa-generate-key|dsa-make-signature|dsa-verify-signature|rsa-make-key|rsa-generate-key|rsa-encrypt)$'	251,498,1087,1267,1555
'(error|source|input|license|help|install|echo|Usage|with|func|throw-on-error|function|does|has|context|probe|\\?\\?|as-pair|mod|modulo|round|repend|about|set-net|append|join|rejoin|reform|remold|charset|array|replace|move|extract|forskip|forall|alter|first+|also|take|for|forever|dispatch|attempt|what-dir|change-dir|clean-path|list-dir|dirize|rename|split-path|delete|make-dir|delete-dir|in-dir|confirm|dump-obj|upgrade|what|build-tag|process-source|build-markup|decode-cgi|read-cgi|write-user|save-user|set-user-name|protect-system|parse-xml|cvs-date|cvs-version|do-boot|get-net-info|desktop|layout|scroll-para|get-face|alert|set-face|uninstall|unfocus|request-dir|center-face|do-events|net-error|decode-url|parse-header|parse-header-date|parse-email-addrs|import-email|send|build-attach-body|resend|show-popup|hide-popup|open-events|find-key-face|do-face|viewtop|confine|find-window|insert-event-func|remove-event-func|inform|dump-pane|dump-face|flag-face|deflag-face|clear-fields|read-net|vbug|path-thru|read-thru|load-thru|do-thru|launch-thru|load-image|request-download|do-face-alt|set-font|set-para|get-style|set-style|make-face|stylize|choose|hilight-text|hilight-all|unlight-text|focus|scroll-drag|clear-face|reset-face|scroll-face|resize-face|load-stock|load-stock-block|notify|request|flash|request-color|request-pass|request-text|request-list|request-date|request-file|dbug|editor|link-relative-path|emailer|parse-error)$'	251,498,1087,1267,1555
'((\\d|\\w|_)+)'	523,946,1116,1484
'^(debian|ubuntu)'	503,656,906,1404
'((^|[^%])(%%)*%s)'	642,776,971,1203
'\\b(alfa|apha)\\b'	1263,1290,1580,1594
'(:|\\s)0+\\.(\\d+)'	568,807,1144,1247
'(?:\\r\\n|\\r|\\n)'	53,252,1087,1495
'[,;:]\\s*(?:  |\\t)'	640,945,1025,1505
'(?:(?:\n\r?)|^)( *)\\S'	642,776,971,1203
'^(centos|redhat|fedora)'	503,656,906,1404
'([abc]|rc)[\\-\\.](\\d+)$'	1263,1290,1580,1594
'\\b(pre-alpha|prealpha)\\b'	1263,1290,1580,1594
'^([a-z]*)(:|%3A)([\\w-]*)$'	254,438,594,790
'^(\\s*)(def .+:|class .+:)'	498,633,958,1235
'(exit|quit)(\\s*\\(.*\\))?$'	422,747,1517,1580
'\\.([hc]|py|txt|sln|vcproj)$'	12,1054,1087,1580
'([=!]=)\\s*(None|False|True)'	640,945,1025,1505
'^\\s*(import |from .+ import)'	498,633,958,1235
'-([0-9]{4}\\.[0-9]{2}|p[0-9]+)$'	614,947,996,1491
'^\\s*(else|elif|except|finally).*\\:'	433,927,1003,1202
'(^|\\n)[ ]{0,3}:[ ]{1,3}(.*?)(\\n|$)'	236,247,919,1007
'(^|\\})(([^\\{\\:])+\\:)+([^\\{]*\\{)'	568,807,1144,1247
'([\\s:])(0)(px|em|%|in|cm|mm|pc|pt|ex)'	568,807,1144,1247
'([\\d\\w\\-_]+)\\s+(\\d+)/(tcp|udp)(.*)'	523,946,1116,1484
'([^\\w\\s]*)\\s*(\t|  )\\s*([^\\w\\s]*)'	304,662,842,1322
u'extra\\s*==\\s*("([^"]+)"|\'([^\']+)\')'	1263,1290,1580,1594
'^\\s*(def|class|else|elif|except|finally)'	433,927,1003,1202
'\\s*SET\\s+(?:(?:GLOBAL|SESSION)\\s+)?\\w'	113,1415,1469,1580
'([a-zA-Z][-.a-zA-Z0-9:_]*)(?:\\s|/(?!>))*'	1012,1086,1158,1580
'((?:\\((?P<id>[0-9]+|RX|CR)\\))*)(?P<str>.+)?'	927,986,1003,1431
'\\s*(?:UPDATE|INSERT|CREATE|DELETE|DROP|ALTER)'	113,1415,1469,1580
'\\n\\s*ACCEPTS:\\s*((?:.|\\n)*?)(?:$|(?:\\n\\n))'	642,776,971,1203
'((User|Msg|MsgAssertion)Exceptio(n))\\(( *)(\\d+)'	503,656,906,1404
"^# Your branch is (ahead of|behind) '(.*)' by (\\d+) commit"	212,1031,1154,1156
'\\s*(?:UPDATE|INSERT|CREATE|DELETE|DROP|ALTER|LOAD +DATA|REPLACE)'	113,1415,1469,1580
'^(DISTRIB_(?:ID|RELEASE|CODENAME|DESCRIPTION))=(?:\'|")?([\\w\\s\\.-_]+)(?:\'|")?'	614,947,996,1491
'(?i)([ -](regular|plain|italic|oblique|(semi)?bold|(ultra)?light|extra|condensed))+$'	642,776,971,1203
'(?i)([ -](regular|plain|italic|oblique|bold|semibold|light|ultralight|extra|condensed))+$'	642,776,971,1203
u'\\b((?:([\\w-]+):(/{1,3})|www[.])(?:(?:(?:[^\\s&()]|&amp;|&quot;)*(?:[^!"#$%&\'()*+,.:;<=>?@\\[\\]^`{|}~\\s]))|(?:\\((?:[^\\s&()]|&amp;|&quot;)*\\)))+)'	552,606,800,1469
'(?P<year>\\d{4})-(?P<month>\\d{1,2})-(?P<day>\\d{1,2})[T ](?P<hour>\\d{1,2}):(?P<minute>\\d{1,2})(?::(?P<second>\\d{1,2})(?:\\.(?P<microsecond>\\d{1,6})\\d{0,6})?)?(?P<tzinfo>Z|[+-]\\d{1,2}:\\d{1,2})?$'	849,878,1495,1634
'\n(rel\\s*=\\s*(?:"(?P<rel1>[^"]*)"|\'(?P<rel2>[^\']*)\'|(?P<rel3>[^>\\s\n]*))\\s+)?\nhref\\s*=\\s*(?:"(?P<url1>[^"]*)"|\'(?P<url2>[^\']*)\'|(?P<url3>[^>\\s\n]*))\n(\\s+rel\\s*=\\s*(?:"(?P<rel4>[^"]*)"|\'(?P<rel5>[^\']*)\'|(?P<rel6>[^>\\s\n]*)))?\n'	1263,1290,1580,1594
'\n    \\A\\s*                      # optional whitespace at the start, then\n    (?P<sign>[-+]?)            # an optional sign, then\n    (?=\\d|\\.\\d)                # lookahead for digit or .digit\n    (?P<num>\\d*)               # numerator (possibly empty)\n    (?:                        # followed by\n       (?:/(?P<denom>\\d+))?    # an optional denominator\n    |                          # or\n       (?:\\.(?P<decimal>\\d*))? # an optional fractional part\n       (?:E(?P<exp>[-+]?\\d+))? # and optional exponent\n    )\n    \\s*\\Z                      # and optional whitespace to finish\n'	689,1054,1087,1580
'((?:\\w|-)*)'	533,1007,1172
'^\\d+(?:px|%)$'	1121,1320,1355
'(\\.c|\\.cpp)?$'	1007,1015,1032
'unit(?:2|test2?/)'	1415,1469,1580
'^[a-zA-Z]+(\\s|$)'	1007,1015,1032
'(^|/)Change[Ll]og$'	526,1046,1642
'\\\\?(gettext|_)\\('	252,1087,1495
'/\\*(?:\\s|.)*?\\*/'	531,832,846
'^(.*?)(-dev|-\\d.*)'	1033,1263,1290
'(\\d+)(st|nd|rd|th)'	337,992,1112
'/(tools|libs)/(.*)$'	241,874,1249
'.*(\\.ipy|\\.py[w]?)$'	422,747,1517
'^(.*?)(?:-dev|-\\d.*)$'	1263,1290,1580
'.*(\\.so|\\.py[cod]?)$'	422,747,1517
'\\.(title|a|dd|h[0-9])$'	1007,1015,1032
'([0-9]+)([DdHhMm]|[sS]?)'	1004,1075,1495
'Fail(ed|ure in) example:'	557,1223,1420
'\\\\x0([0-7])(?=[^0-7]|$)'	1269,1469,1498
'(^|[\\W_])sample\\d*[\\W_]'	1269,1469,1498
'^(\\s*)(def|class)(\\s.*)?$'	498,633,1235
u"^((?:'[^']*'|[^'])*?)--.*$"	1012,1086,1580
'(\\d+(\\.\\d+)?) (K|M|G|T)b?$'	12,101,827
u'\\s*(?:/\\*.*\\*/\\s*|//.*)$'	304,1025,1322
'^(\\d+\\.|[-*|]|\\[\\d+\\]) .'	462,690,1119
'^(.*?)\\s?((?:ssh\\-|ecds).+)$'	947,996,1491
'.*?(?:inet addr:|inet )(.*?)\\s'	947,996,1491
'if.*?==\\s+(None|False|True)\\b'	147,181,1087
'\n(Contents of the|The section) '	1007,1015,1032
u'(.*)\\s*(?://.*|/\\*.*\\*/\\s*)$'	304,1025,1322
'^([ \\t]*>>> |^[ \\t]*\\.\\.\\. )'	422,747,1517
'/(tools|libs)/(.*)/(test|example)'	241,874,1249
'(?P<address>.*?)(?:(?: \\(.*?@)|$)'	147,181,456
'function (?:\\s|.)*?end function.*'	531,832,846
'.*?(?:HWaddr|ether) ([0-9a-fA-F:]+)'	947,996,1491
'^(.*?)\\s*<(?:URI:|URL:)?([^<>]+)>$'	757,1087,1330
'.*?(?:Bcast:|broadcast )([\\d\\.]+)'	947,996,1491
'(?:\\s*|((?:\\\\\\\\)+))\\\\\\n\\s*'	1007,1015,1032
'\\s*"((\\\\.|.)+?)"\\s*=\\s*"(.+?)";'	194,199,289
'([^ ]+) ([^ ]+)(( HTTP/([0-9.]+))$|$)'	107,1225,1638
'([^:#]*)\\s*:?\\s*([^#]*?)(\\s+#.*|$)'	947,996,1491
'subroutine (?:\\s|.)*?end subroutine.*'	531,832,846
'\\b(E?TSM?_(ASSERT[A-Z_]*|FAIL))\\s*\\('	0,139,785
'<type>boost::(lazy_)?(enable|disable)_if'	241,874,1249
'%(@|d|f|lld|\\d+\\.?f|\\d+\\.\\d+f|\\d+d)'	194,199,289
'^(pgpgin|pgpgout|pswpin|pswpout)\\s(\\d+)'	1183,1506,1510
'^#T (gmake |pymake )?([a-z-]+)(?:: (.*))?$'	1007,1015,1032
'(^|\n)svn path=[^\n]+revision=\\d+(?=$|\n)'	526,1046,1642
'.*lib(stdc\\+\\+|gcc_s).* => (.*) \\(.*\\)'	515,1245,1373
'ip(engine|controller)z-\\d+\\.(log|err|out)'	422,747,1517
'(\\s*def\\s+\\w+\\s*)\\[(html|plain)\\](.*)'	498,602,1495
'^https?://github.com/([^/]+)/([^/]+)($|/.*$)'	1322,1326,1505
'\\s?((["][^"]*["]|[\'][^\']*[\'])\\s+dluohs)'	1025,1215,1423
'(?:.*\\()?(?P<name>[-\\w*\\.]+)(?:,|\\)?.*)?'	257,1319,1448
'^([,;/%?]|!!?|\\s*)\\s*([\\w\\.]+)(\\s+.*$|$)'	422,602,747
'(subroutine|function)\\s*(?P<name>\\w+)\\s*\\('	531,832,846
'&(?:#((?:\\d+)|(?:[xX][0-9a-fA-F]+));?|(\\w+);)'	113,147,181
'.*?(?:inet6 addr: (.*?)/|inet6 )([0-9a-fA-F:]+)'	947,996,1491
'(js_Execute|CallHook) ([^ ]+) ([^ ]+ )?([^ ]+ms)'	1007,1015,1032
u'^\\s*(?:(?:else )?if|for|switch|while|with)(\\()'	304,1025,1322
'\\b(throw|try|catch|TSM?_ASSERT_THROWS[A-Z_]*)\\b'	0,139,785
'[-+]?(\\d+(\\.\\d*)?|\\d*\\.\\d+)([eE][-+]?\\d+)?'	758,1246,1540
u'^([a-z0-9.-]+|\\[[a-f0-9]*:[a-f0-9:]+\\])(:\\d+)?$'	1012,1158,1580
'(TARGET_XPCOM_ABI|OS_TARGET|MOZ_DEBUG)\\s*=\\s*(.*)'	1007,1015,1032
'^([ \\t]*In \\[\\d+\\]: |^[ \\t]*\\ \\ \\ \\.\\.\\.+: )'	422,747,1517
'.*?(?:Mask:|netmask )(?:(0x[0-9a-fA-F]{8})|([\\d\\.]+))'	947,996,1491
'.*?(?:inet6 addr: [0-9a-fA-F:]+/(\\d+)|prefixlen (\\d+)).*'	947,996,1491
'(^|\n)\\d+-\\d+-\\d+[ \t]+((\\w|[.-])+[ \t]+)+<[^\n>]+>(?=$|\n)'	526,1046,1642
'^([^/]|/[^/])*\\bvoid\\s+([Tt]est\\w+)\\s*\\(\\s*(void)?\\s*\\)'	0,139,785
'--- NOTE: IN THIS TESTCASE, WE EXPECT EXIT CODE ((?:-|\\d)+) ---'	1007,1015,1032
'^([MACDRUG_ ][MACDRUG_ ])(.)(.)   .   [^0-9-]+(\\d+|-)(.{23})(.+)'	241,874,1249
'^.+\\@(\\[?)[a-zA-Z0-9\\-\\.]+\\.([a-zA-Z]{2,3}|[0-9]{1,3})(\\]?)$'	840,1495,1608
'==\\d+==\\s+(?:definitely|indirectly)\\s+lost:\\s+([0-9,]+)\\s+bytes'	1007,1015,1032
u'(\\d{4})-([^-]+)-(\\d{,2})T(\\d{,2}):(\\d{2})((\\+|-)(\\d{,2}:\\d{2}))'	220,1003,1247
'^\\s*blocktrans(\\s+.*context\\s+(?:"[^"]*?")|(?:\'[^\']*?\'))?(?:\\s+|$)'	849,878,1634
'^((?:|sh\\S*?|\\w+\\S+[@:]\\S+(?:\\s+\\S+)?|\\[\\S+[@:][^\\n]+\\].+)[$#%])(.*\\n?)'	251,498,1267
'([=!]=|is|is\\s+not)\\s*type(?:s\\.(\\w+)Type|\\(\\s*(\\(\\s*\\)|[^)]*[^ )])\\s*\\))'	640,945,1505
'\\b(std\\s*::|CXXTEST_STD|using\\s+namespace\\s+std\\b|^\\s*\\#\\s*include\\s+<[a-z0-9]+>)'	0,139,785
'\\/\\* Begin PBXBuildFile section \\*\\/\n((?:.|\n)+?)\\/\\* End PBXBuildFile section \\*\\/'	289,638,956
u'^\\s*(?:(?:else )?if|for|switch|while|with)\\s*\\(.+\\)\\s*(\\{)\\s*(?://.*|/\\*.*\\*/\\s*)?$'	304,1025,1322
'^\\s*trans\\s+((?:"[^"]*?")|(?:\'[^\']*?\'))(\\s+.*context\\s+(?:"[^"]*?")|(?:\'[^\']*?\'))?\\s*'	849,878,1634
u'^(?:\\s*[-+]\\s*\\([a-zA-Z_$]\\w*\\)|@implementation)\\s*[a-zA-Z_$][\\w]*.*?\\s*(\\{)\\s*(?:$|//.*$)'	304,1025,1322
'DOCTYPE\\s+(?P<name>[^\\s]*)( PUBLIC "(?P<publicId>.*)" "(?P<systemId1>.*)"| SYSTEM "(?P<systemId2>.*)")?'	220,927,1469
'^(syn keyword vimCommand contained|syn keyword vimOption contained|syn keyword vimAutoEvent contained)\\s+(.*)'	147,181,1087
'%(?:(?P<cn>[0-9]+)\\$)?(?P<width>[0-9]+)?(?:.(?P<pres>[0-9]+))?(?P<size>[hL]|(?:ll?))?(?P<type>[dciouxXefgpCSsn])'	1007,1015,1032
'DOCTYPE\\s+(?P<name>[^\\s]*)(\\s*PUBLIC\\s*"(?P<publicId>.*)"\\s*"(?P<systemId1>.*)"|\\s*SYSTEM\\s*"(?P<systemId2>.*)")?'	220,927,1469
'(?P<replace>(?P<type>[\\^](?:(?:!?@?)|\\|)?)(?P<command_string>[-a-zA-Z0-9_.]+)?\\((?P<is_array>\\s*\\[?)(?P<content>.*?)(\\]?)\\))'	534,1007,1466
u'(?x)\n        \\s*((continue|do|for|function|if|else|return|switch|while|with)\\b|\\[+\\s*[a-zA-Z_$]\\w*\\s+[a-zA-Z_$]\\w*\\s*[:\\]])\n    '	304,1025,1322
'^(MemTotal|MemFree|Buffers|Cached|SwapCached|Active|Inactive|SwapTotal|SwapFree|Dirty|VmallocTotal|VmallocUser|VmallocChunk):\\s*(\\d+)\\s*kB'	1183,1506,1510
'^(?P<version>(?P<major>\\d+)\\.(?P<minor>\\d+)\\.(?P<subminor>\\d+))((rc(?P<release_candidate>\\d+))|dev)?-CAPI-(?P<capi_version>\\d+\\.\\d+\\.\\d+)( r\\d+)?$'	1012,1158,1580
'(?P<year>\\d{4})-(?P<month>\\d{1,2})-(?P<day>\\d{1,2})[T ](?P<hour>\\d{1,2}):(?P<minute>\\d{1,2})(?::(?P<second>\\d{1,2})(?:\\.(?P<microsecond>\\d{1,6})\\d{0,6})?)?(?P<tzinfo>Z|[+-]\\d{2}:?\\d{2})?$'	1012,1086,1580
'\n    (\n        (?:".*?")|              # double quotes\n        (?:\'.*?\')|              # single quotes\n        (?:[^\'",\\s=][^,=]*?)       # unquoted\n    )\n    (?:\n    (?:\\s*,\\s*)|(?:\\s*$)            # comma\n    )\n'	332,689,1007
u'(?x)\n        (?P<indent>\\s*)         # indent before a var keyword\n        (?P<var>var\\s+)         # var keyword and whitespace after\n        (?P<identifier>[a-zA-Z_$]\\w*)\\s*\n        (?:\n            (?P<assignment>=)\\s*\n            (?P<expression>.*)\n            |\n            (?P<separator>[,;+\\-/*%^&|=\\\\])\n        )\n    '	304,1025,1322
'(?x)\n    ^\n    (?: (\\w+):                     )?  # optional label at start of line\n        \\s* (\\.?\\w+)                   # optional spaces, (pseudo-)opcode\n    (?: \\s+ ([+-]?\\w+ | \\([^)]*\\)) )?  # optional first immediate operand\n    (?: \\s+ ([\\w,-]+  | \\([^)]*\\)) )?  # optional second immediate operand\n    (?: \\s* (?:\\#.*)               )?  # optional spaces and comment\n    $'	1007,1015,1032
'    # mere offset\n                ^\n                &?                                          # possible ampersand\n                (       0                                       # just zero\n                |       [1-9]{1,1}[0-9]*        # decimal\n                |       0[0-7]+                         # octal\n                |       0x[0-9a-f]+                     # hex\n                )\n                $\n                '	1007,1015,1032
'(?x)\n        ^ OPDEF \\( (JSOP_\\w+),         \\s*  # op\n                   ([0-9]+),           \\s*  # val\n                   ("[^"]+" | [\\w_]+), \\s*  # name\n                   ("[^"]+" | [\\w_]+), \\s*  # image\n                   (-1|[0-9]+),        \\s*  # len\n                   (-1|[0-9]+),        \\s*  # uses\n                   (-1|[0-9]+),        \\s*  # defs\n                   ([0-9]+),           \\s*  # prec\n                   ([\\w_| ]+)          \\s*  # format\n                \\) \\s* $'	1007,1015,1032
'\n    (?:\n        ([a-zA-Z_][a-zA-Z0-9_]*)\\s*=\\s*list\\(\n            (\n                (?:\n                    \\s*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s\\)][^,\\)]*?)  # unquoted\n                    )\n                    \\s*,\\s*\n                )*\n                (?:\n                    (?:".*?")|              # double quotes\n                    (?:\'.*?\')|              # single quotes\n                    (?:[^\'",\\s\\)][^,\\)]*?)  # unquoted\n                )?                          # last one\n            )\n        \\)\n    )\n'	332,689,1007
'        # A numeric string consists of:\n#    \\s*\n    (?P<sign>[-+])?              # an optional sign, followed by either...\n    (\n        (?=[0-9]|\\.[0-9])        # ...a number (with at least one digit)\n        (?P<int>[0-9]*)          # having a (possibly empty) integer part\n        (\\.(?P<frac>[0-9]*))?    # followed by an optional fractional part\n        (E(?P<exp>[-+]?[0-9]+))? # followed by an optional exponent, or...\n    |\n        Inf(inity)?              # ...an infinity, or...\n    |\n        (?P<signal>s)?           # ...an (optionally signaling)\n        NaN                      # NaN\n        (?P<diag>[0-9]*)         # with (possibly empty) diagnostic info.\n    )\n#    \\s*\n    \\Z\n'	287,602,1509
'        # A numeric string consists of:\n#    \\s*\n    (?P<sign>[-+])?              # an optional sign, followed by either...\n    (\n        (?=\\d|\\.\\d)              # ...a number (with at least one digit)\n        (?P<int>\\d*)             # having a (possibly empty) integer part\n        (\\.(?P<frac>\\d*))?       # followed by an optional fractional part\n        (E(?P<exp>[-+]?\\d+))?    # followed by an optional exponent, or...\n    |\n        Inf(inity)?              # ...an infinity, or...\n    |\n        (?P<signal>s)?           # ...an (optionally signaling)\n        NaN                      # NaN\n        (?P<diag>\\d*)            # with (possibly empty) diagnostic info.\n    )\n#    \\s*\n    \\Z\n'	1054,1087,1580
'    # indirect offset\n                ^\\(\n                (?P<base>&?0                  # just zero\n                        |&?[1-9]{1,1}[0-9]* # decimal\n                        |&?0[0-7]*          # octal\n                        |&?0x[0-9A-F]+      # hex\n                )\n                (?P<type>\n                        \\.         # this dot might be alone\n                        [BSL]? # one of this chars in either case\n                )?\n                (?P<sign>\n                        [-+]{0,1}\n                )?\n                (?P<off>0              # just zero\n                        |[1-9]{1,1}[0-9]*  # decimal\n                        |0[0-7]*           # octal\n                        |0x[0-9a-f]+       # hex\n                )?\n                \\)$'	1007,1015,1032
'\n    (?:\n        (\n            (?:\n                [a-zA-Z_][a-zA-Z0-9_]*\\s*=\\s*list\\(\n                    (?:\n                        \\s*\n                        (?:\n                            (?:".*?")|              # double quotes\n                            (?:\'.*?\')|              # single quotes\n                            (?:[^\'",\\s\\)][^,\\)]*?)       # unquoted\n                        )\n                        \\s*,\\s*\n                    )*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s\\)][^,\\)]*?)       # unquoted\n                    )?                              # last one\n                \\)\n            )|\n            (?:\n                (?:".*?")|              # double quotes\n                (?:\'.*?\')|              # single quotes\n                (?:[^\'",\\s=][^,=]*?)|       # unquoted\n                (?:                         # keyword argument\n                    [a-zA-Z_][a-zA-Z0-9_]*\\s*=\\s*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s=][^,=]*?)       # unquoted\n                    )\n                )\n            )\n        )\n        (?:\n            (?:\\s*,\\s*)|(?:\\s*$)            # comma\n        )\n    )\n    '	332,689,1007
'^\n    (?:\n        (\n            (?:\n                [a-zA-Z_][a-zA-Z0-9_]*\\s*=\\s*list\\(\n                    (?:\n                        \\s*\n                        (?:\n                            (?:".*?")|              # double quotes\n                            (?:\'.*?\')|              # single quotes\n                            (?:[^\'",\\s\\)][^,\\)]*?)       # unquoted\n                        )\n                        \\s*,\\s*\n                    )*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s\\)][^,\\)]*?)       # unquoted\n                    )?                              # last one\n                \\)\n            )|\n            (?:\n                (?:".*?")|              # double quotes\n                (?:\'.*?\')|              # single quotes\n                (?:[^\'",\\s=][^,=]*?)|       # unquoted\n                (?:                         # keyword argument\n                    [a-zA-Z_][a-zA-Z0-9_]*\\s*=\\s*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s=][^,=]*?)       # unquoted\n                    )\n                )\n            )\n        )\n        (?:\n            (?:\\s*,\\s*)|(?:\\s*$)            # comma\n        )\n    )\n    *'	332,689,1007
'^(X|A)$'	109,182
':(\\s|$)'	171,1381
'-t(?:\\s|$)'	602,747
'\\((H|S)\\)'	109,182
'type=(B|R|)'	109,182
'^((x?v|s)d)'	1223,1420
'(?:\r\n|\r)'	305,1505
'(at|bl|iz)$'	255,1184
' (?=-|--|/)'	251,1087
'(ERROR|FATAL):'	1087,1555
'</?(?:b|em|i)>'	169,179
'(iex|\\.{3})> '	1087,1555
'^(.*)(ed|ing)$'	255,1184
'((^|\\n)\\s*)@'	757,1087
'((^|\\n)\\s*)-'	757,1087
'[&?]acl($|=|&)'	1223,1420
' ?(?:,| AND ) ?'	109,182
'^(\\+2|\\+{2})$'	354,379
'^(\\-2|\\-{2})$'	354,379
'::(\\s*($|\\n))'	757,1087
'<([^ ]+)(>| ).*'	558,1326
'(\r\n|\r|\n)\\Z'	1054,1087
'\\A\\d+(l|L)?\\Z'	518,787
'\\n\\s*(\\n|$).*'	757,1087
'from($|\\s+\\.+)'	305,1505
'(?:is|has)[A-Z_]'	1025,1322
'([a-z]+://|//).*'	482,579
'@((?:\\w|-)*)(.*)'	533,1007
',[ ]*([-]?\\d+|n)'	1317,1501
'None(?=\\s|\\]|,)'	1248,1488
'\\w+(Class|Iface)'	1054,1198
'gl.*Program(s|)NV'	533,1117
'^(.+?)(s|t)(ion)$'	255,1184
'^(Q|QQ)\\<(.+)\\>$'	518,787
'[&?]torrent($|=|&)'	1223,1420
'\\s*@((?:\\w|-)*):'	533,1007
'[&?]logging($|=|&)'	1223,1420
'\\\\(t|n|r|"|\\\\)'	55,908
'(?:ed|ble|ous|id)$'	361,1062
'^(?:get|set)_(.*)$'	1054,1198
'\\s*<((?:\\w|-)*)>'	533,1007
'[&?]location($|=|&)'	1223,1420
'(>(\\s*>)+)(,|\\n$)'	241,1249
'^(Win|PPC Mac OS X)'	391,872
'[&?]versions($|=|&)'	1223,1420
'-?\\d+(?=\\s|\\]|,)'	1248,1488
'(?:^|/)ChangeLog.*$'	1199,1300
'^/(usr/|)(bin|sbin)/'	492,1364
'.*\\.(gz|xz|7z|bz2)$'	1317,1501
'^\\s*(>>>|...) (.*)$'	339,1247
'((^|\\n)\\s*\\d+)\\.'	757,1087
'(</?(?:ul|li)[^>]*>)'	1228,1231
'(^|\\\\n)([^\\\\]*)$'	1248,1488
'by ([^;(\n]+;?|\\w+)'	109,182
'^\\s*(\\w|\\d)+\\s*$'	241,1249
'[&?]versioning($|=|&)'	1223,1420
'^(.*)\\.(diff|patch)$'	103,130
'^(PPC|Intel) Mac OS X'	391,872
'In the (House|Senate)'	109,182
'(?m)(^|[^\\\\])(%.*$)'	86,88
'refs/(heads|remotes)/'	103,130
'^(Y|X|A|N) ([\\S ]+)$'	109,182
'^(FF|GF)\\((\\d+)\\)$'	518,787
'(\\w+)(\\.|:)\\s*(.*)'	1248,1488
'^(.*?)(?:-dev|-\\d.*)'	1263,1290
'(?:#|#.*?&)egg=([^&]*)'	1263,1290
'^\\s*(\n\r|\r\n|\r|\n)'	173,369
'^([a-zA-Z0-9_]+):( |$)'	116,124
'^\\s*(#|//[^/]|////).*$'	241,1249
'^(Z|ZZ|Q|QQ)\\[(.+)\\]$'	518,787
'\\.(js|java)(?:\\.in)?$'	1015,1032
'^[-+]?(0|[1-9][0-9,]*)$'	171,1381
'((,|^)\\s*[\\w\\-\\.]+)'	757,1087
'^([A-Z].*?\\.(?:\\s|$))'	332,689
'^(Z|ZZ|Q|QQ)\\((.+)\\)$'	518,787
'\x1b\\]((?:.|;)*?)(\x07)'	1263,1580
'href\\="((?:\\w|[.-])*)"'	1015,1032
'(https?://|git://)github'	295,1496
'"(\\\\\\\\|\\\\"|[^"])*"'	251,1087
'^(Win|Linux|PPC Mac OS X)'	391,872
'\\s*([^=:]+)(=|:)\\s*(.*)'	919,1007
'^(}|struct\\s+\\w+);\\s*$'	241,1249
'[&?]requestPayment($|=|&)'	1223,1420
'^(\\w+|/|\\.|\\(|\\"|\\\')'	171,1381
'^ephemeral(\\d|[1-9]\\d+)$'	1223,1420
'(\\s*[\\w\\W]*?\\.)(\\s|$)'	757,1087
'(h|s)\\w*(\\d\\d\\d\\d\\d)'	109,182
'^(\\w+|/|\\.|\\*|\\"|\\\')'	171,1381
'(\\w+)\\s*<((\\w|,| |-)+)>'	241,1249
'(id|.+_id)(\\d+)((?:-bb)?)'	241,1249
'(?:^|/)(0-9|[a-z])\\.json$'	709,1601
'(?:<(?:b|em|i|strong)>){2}'	169,179
'image/(gif|p?jpeg|(x-)?png)'	1193,1552
'(^| )`\\w([^`]*?\\w)?`($| )'	1087,1580
'diff: (.+)% (passed|failed)'	1199,1300
'(?:</(?:b|em|i|strong)>){2}'	169,179
