'[aeiouy]'	866,1184
'[\\\'|"|#|\\\\|\\[|\\]|\\{|\\}|\\(|\\)]'	167,468,640,659,703,1322
'(url\\([\'"]{0,1}\\s*(.*?)["\']{0,1}\\))'	302,849,878,1086,1495,1634
'([<>]|&(?!#\\d+;|#x[0-9a-fA-F]+;|\\w+;))'	873,927,1122,1469,1580,1592
'^(["\\\'])((?:(?!\\1)[^\\\\]|\\\\.)*)\\1'	305,407,1025,1322,1326,1505
'^[ \t]*(#|%:)[ \t]*(include)[ \t]*(.*)\r*$'	294,322,467,505,534,1466
'(?P<q>[\\\'"])(.*?)(?<![^\\\\][\\\\])(?P=q)'	306,322,534,896,1007,1466
'(.*?[^\\s\\]\\}\\)]+.*?)([\\]\\}\\)],?)\\s*$'	306,322,534,896,1007,1466
'NPT_SET_LOCAL_LOGGER\\s*\\([ "]*(\\S+)[ "]*\\)'	412,759,852,961,1221,1511
',\\s*([^\\s;,\\n]+)(?:[^,]*?;\\s*q=([0-9.]*))?'	82,89,1004,1074,1075,1495
'^\\s*\\|\\s.*\\s\\|\\s*$|^\\s*\\+[=+-]+\\+\\s*$'	385,483,640,1069,1149,1583
'\\\\(\\\'|\\"|\\\\|[abfnrtv]|x.{0,2}|[0-7]{1,3})'	101,251,602,1054,1087,1580
'\\([^()]*\\b(?:[\\w:]|<[^()]*>)+(\\s?&|&\\s?)\\w+'	322,416,467,505,534,1466
'([sS][eE][tT]\\s*\\()\\s*([^\\s]+)\\s+"([^"]+)"\\)'	322,467,505,534,1216,1466
'([a-zA-Z][a-zA-Z_-]*)\\s*(?:=(?:"([^"]*)"|([^ \\t",;]*)))?'	82,89,1004,1074,1075,1495
'\\([^()]*\\b(?:[\\w:]|<[^()]*>)+\\s+const(\\s?&|&\\s?)[\\w]+'	322,416,467,505,534,1466
'irb\\([a-zA-Z_][a-zA-Z0-9_]*\\):\\d{3}:\\d+[>*"\'] |>> |\\?> '	113,251,498,1087,1267,1555
'([\\w.+]+)\\s*\\(#(\\d+),\\s*([\\w ]+),\\s*([\\w :]+)\\)\\s*\\[([^\\]]+)\\]?'	412,759,852,961,1221,1511
'<a class="ot-revision-link" href="/p/[^/]+/source/detail\\?r=[0-9]+">([^<]+)</a>'	412,759,852,961,1221,1511
'^([A-Z][A-Z][A-Z])([-+]?[0-9]+)([A-Z][A-Z][A-Z]);([0-9]+)/([0-9]+),([0-9]+)/([0-9]+)$'	412,759,852,961,1221,1511
'\\([^()]*\\bconst\\s+(?:typename\\s+)?(?:struct\\s+)?(?:[\\w:]|<[^()]*>)+(\\s?&|&\\s?)\\w+'	322,416,467,505,534,1466
'<\\/?[\\w:\\-]+(?:\\s+[\\w\\-:]+(?:\\s*=\\s*(?:(?:"[^"]*")|(?:\\\'[^\\\']*\\\')|[^>\\s]+))?)*\\s*(\\/?)>$'	305,407,1025,1322,1326,1505
'<([\\w\\:\\-]+)((?:\\s+[\\w\\-:]+(?:\\s*=\\s*(?:(?:"[^"]*")|(?:\\\'[^\\\']*\\\')|[^>\\s]+))?)*)\\s*(\\/?)>'	305,407,1025,1322,1326,1505
'\n    ^\n    [ \\t]*\n    (?: if\n    |   for\n    |   while\n    |   else\n    |   def\n    |   return\n    |   assert\n    |   break\n    |   class\n    |   continue\n    |   elif\n    |   try\n    |   except\n    |   raise\n    |   import\n    |   yield\n    )\n    \\b\n'	412,759,852,961,1221,1511
'\n  =\\?                   # literal =?\n  (?P<charset>[^?]*?)   # non-greedy up to the next ? is the charset\n  \\?                    # literal ?\n  (?P<encoding>[qb])    # either a "q" or a "b", case insensitive\n  \\?                    # literal ?\n  (?P<encoded>.*?)      # non-greedy up to the next ?= is the encoded string\n  \\?=                   # literal ?=\n  (?=[ \\t]|$)           # whitespace or the end of the string\n  '	12,287,602,1054,1087,1509
'[, ]+'	332,689,1013,1218,1426
'[,<>()]'	322,467,505,534,1466
'[,;: ]+'	552,606,1223,1247,1420
'[\\.\\-]'	927,1003,1269,1498,1570
'[\\+\\!]+$'	143,188,213,1094,1583
'([&<"\\\'>])'	433,927,1003,1202,1350
'(\\d+[abc])$'	1263,1290,1469,1580,1594
'^[\r\n]*(\\s*)'	143,188,213,1094,1583
'([\\$\\|\\\\])'	305,1025,1322,1326,1505
'[.~]?([abc])\\.?'	1263,1290,1469,1580,1594
'(?![\\.\\-])dev$'	1263,1290,1469,1580,1594
'^[-=*_^#]{3,}\\s*$'	356,436,538,1247,1288
'^(\\.\\.)[\\/](.*)$'	322,467,505,534,1466
'[\\.\\-](dev|devel)$'	1263,1290,1469,1580,1594
'["&<>]|[^\\x00-\\x7f]'	433,927,1003,1202,1350
'([\\w-]+)([.#])(\\w+)'	1025,1082,1322,1326,1505
'([a-z]*) ([^ \\r\\n]*)'	441,628,1054,1204,1580
'([ ]+_)|(_[ ]+)|([ ]+)'	236,247,919,1007,1395
'^%[%!\\w]([^:]*)[ \\t]*$'	441,628,1054,1204,1580
'foo-0.0.0-py[23].\\d.egg$'	1257,1415,1536,1580,1594
'[\\?\\&]gsessionid=(\\w*)'	147,181,254,438,594
'(\\s*<[^>]+>[\\s\\n\\r]*)$'	143,188,213,1094,1583
'^%%([^:]*):[ \\t]*(.*)[ \\t]*$'	441,628,1054,1204,1580
'[\\-\\.](dev)[\\-\\.]?r?(\\d+)$'	1263,1290,1469,1580,1594
'^.+[:(]\\d+[:)]|^Done processing'	467,505,534,1404,1466
'^(?:852-?)?(\\d{4})[-\\.]?(\\d{4})$'	849,878,1012,1086,1158
'^([A-Za-z][^:]*):[ \\t]*(.*)[ \\t]*$'	441,628,1054,1204,1580
'(.+) release ([\\d.]+)[^(]*(?:\\((.+)\\))?'	287,602,1054,1087,1509
'^[,&^\\|\\*/\\+-]|^is |^not |^in |^and |^or '	422,602,747,1517,1580
'[*]\\[(?P<abbr>[^\\]]*)\\][ ]?:\\s*(?P<title>.*)'	236,247,919,1007,1395
'^[ ]{0,3}(?P<key>[A-Za-z0-9_-]+):\\s*(?P<value>.*)'	236,247,919,1007,1395
'([^0-9]+)(?: release )?([\\d.]+)[^(]*(?:\\((.+)\\))?'	287,602,1054,1087,1509
'(?P<tzd>[-+](?P<tzdhours>\\d\\d)(?::?(?P<tzdminutes>\\d\\d))|Z)'	211,220,1003,1076,1247
'([\\w.+]+)\\s*\\(#?([^,]+),\\s*([\\w ]+),\\s*([\\w :]+)\\)\\s*\\[([^\\]]+)\\]?'	12,287,602,1054,1509
'^<(\\w+\\:?[\\w\\-]*)((?:\\s+[\\w\\:\\-]+\\s*=\\s*([\\\'"]).*?\\3)*)\\s*(\\/?)>'	305,1025,1322,1326,1505
'\\s*((?<=[\\\'"\\s])[^\\s/>][^\\s/=>]*)(\\s*=+\\s*(\\\'[^\\\']*\\\'|"[^"]*"|(?![\\\'"])[^>\\s]*))?'	873,927,1469,1580,1592
'^<([\\w\\:\\-]+)((?:\\s+[\\w\\-:]+(?:\\s*=\\s*(?:(?:"[^"]*")|(?:\'[^\']*\')|[^>\\s]+))?)*)\\s*(\\/?)>'	305,1025,1322,1326,1505
'\n          # Match tail of: [text][id]\n          [ ]?          # one optional space\n          (?:\\n[ ]*)?   # one optional newline followed by spaces\n          \\[\n            (?P<id>.*?)\n          \\]\n        '	552,606,1223,1247,1420
'\\s*#define[ \t]+[^_]*_width[ \t]+(?P<width>[0-9]+)[\r\n]+#define[ \t]+[^_]*_height[ \t]+(?P<height>[0-9]+)[\r\n]+(?P<hotspot>#define[ \t]+[^_]*_x_hot[ \t]+(?P<xhot>[0-9]+)[\r\n]+#define[ \t]+[^_]*_y_hot[ \t]+(?P<yhot>[0-9]+)[\r\n]+)?[\\000-\\377]*_bits\\[\\]'	441,628,1054,1204,1580
"\n        ^(\\#{1,6})  # \\1 = string of #'s\n        [ \\t]*\n        (.+?)       # \\2 = Header text\n        [ \\t]*\n        (?<!\\\\)     # ensure not an escaped trailing '#'\n        \\#*         # optional closing #'s (not counted)\n        \\n+\n        "	552,606,1223,1247,1420
'\n          # Match tail of: [text](/url/) or [text](/url/ "title")\n          \\(            # literal paren\n            [ \\t]*\n            (?P<url>            # \\1\n                <.*?>\n                |\n                .*?\n            )\n            [ \\t]*\n            (                   # \\2\n              ([\'"])            # quote char = \\3\n              (?P<title>.*?)\n              \\3                # matching quote\n            )?                  # title is optional\n          \\)\n        '	552,606,1223,1247,1420
'[ ]+'	126,538,1247,1288
'[()]'	624,815,1248,1486
'[-.]'	496,749,1087,1580
'[=!]='	119,1007,1015,1032
'^[.-]'	1263,1290,1580,1594
'[ \\t]'	826,828,1128,1591
'[ {}$]'	467,505,534,1466
'[.\\-]'	113,1415,1469,1580
'[?*+]+'	251,498,1087,1555
'[&<>"]'	552,606,800,1469
'[.+-]$'	1263,1290,1580,1594
'[.]{2,}'	1263,1290,1580,1594
'[()\\\\]'	642,776,971,1203
'(\\D)[.]'	851,1269,1498,1561
'[.](\\D)'	851,1269,1498,1561
'([\x0c])'	422,747,1517,1580
'[\\n\\t]'	560,1415,1469,1580
'[~:+_ -]'	1263,1290,1580,1594
'[\t ]+\n'	61,166,356,410
'^[.](\\d)'	1263,1290,1580,1594
'[ \\t\\n]'	119,1007,1015,1032
'^\x1b[()]'	385,640,1149,1583
'^[:~._+-]+'	1263,1290,1580,1594
'[,*")([\\]]'	1263,1290,1580,1594
'^[\\t ]*\\n'	46,1050,1469,1621
'[-T:/.]|\\s+'	927,986,1003,1431
'(\\D)[.](\\D)'	851,1269,1498,1561
'([\\\\()\\r\\n])'	642,776,971,1203
'^[ \\t]*[^# \\t]'	433,927,1003,1202
':[ \\t]*(?:#.*)?$'	433,927,1003,1202
'([\n\r\t\x08\x07])'	287,602,1509,1580
'[uU][rR]?[\\\'\\"]'	602,1054,1087,1580
'[,;:]\\s*(?:  |\\t)'	640,945,1025,1505
'([<>]|&(?![^\\s]+;))'	60,64,881,928
'.*_([vV]\\d+\\.\\d+)$'	503,656,906,1404
'^[a-zA-Z0-9_]+\\.[ch]$'	12,1054,1087,1580
'([!{}:;>+\\(\\[,])\\s+'	568,807,1144,1247
'\\s*\\(\\d+[ulUL]*\\).*'	523,946,1116,1484
'[()]|\\s=[^=]|[^=!<>]=\\s'	304,662,842,1322
'([abc]|rc)[\\-\\.](\\d+)$'	1263,1290,1580,1594
'\\s+([!{};:>+\\(\\)\\],])'	568,807,1144,1247
'\\.[svn|git|hg|scc|vssscc]'	287,580,602,1509
'^([a-zA-Z0-9]+)([-](.*))?$'	287,580,602,1509
'\\.([hc]|py|txt|sln|vcproj)$'	12,1054,1087,1580
'^#.*coding[:=]\\s*([-\\w.]+)'	747,1340,1517,1580
'[\\?\\&]gsessionid=(\\w*\\-)'	254,438,594,790
'([=!]=)\\s*(None|False|True)'	640,945,1025,1505
'#\\s*coding[:=]\\s*([-\\w.]+)'	422,747,1517,1580
'\\s*\\(0[xX][0-9a-fA-F]*\\).*'	523,946,1116,1484
'^#!.*pythonw?[0-9.]*([ \t].*)?$'	1263,1290,1580,1594
'(?i)([aeiou]).{1,3}([aeiou])nes$'	305,1025,1138,1505
'([+\\-&|!(){}\\[\\]\\^"~*?:\\\\])'	813,913,927,1003
'(^[ \\t]*>>> |^[ \\t]*\\.\\.\\. )'	422,602,747,1517
'([=\\(\\)|\\-!@~\\"&/\\\\\\^\\$\\=])'	172,391,682,872
'(^|\\n)[ ]{0,3}:[ ]{1,3}(.*?)(\\n|$)'	236,247,919,1007
'^(?P<host>[^:]+)(:(?P<port>[0-9]+))?$'	619,658,1247,1399
'<base\\s+href\\s*=\\s*[\'"]?([^\'">]+)'	1263,1290,1580,1594
'^<\\?xml.*?encoding=["\\\']*(.+?)["\\\'>]'	1263,1535,1580,1594
'^[= ]([*> ]) ([^- ]+)-([^ ]+) \\[ (.*) \\]'	614,947,996,1491
'<meta.*?content=["\\\']*;?charset=(.+?)["\\\'>]'	1263,1535,1580,1594
'.*[\\\\/]([^\\\\/]+)[\\\\/][^\\\\/]+[\\\\/]scons[\\\\/]?$'	592,896,1301,1403
'(/\\.)|(//)|([\\\\:\\*\\?\\""\\<\\>\\|]|[\x00-\x1f]|[\x7f-\x9f])'	191,532,843,1132
'(?P<prefix>[|+ ]*)(?P<samples>\\d+), (?P<symbol>[^,]+), (?P<image>.*)'	851,1269,1561,1576
'\\$\\{?[a-zA-Z_][a-zA-Z0-9_]*(\\([^)]*\\))?(\\.[a-zA-Z0-9_]+(\\([^)]*\\))?)*\\}?'	251,498,1087,1555
'(\x1b\\[?\\??#?[0-9;]*[a-zA-Z0-9@=>]|\x1b\\][0-9];.*?\x07|[\x01-\x0f]|\x1b\\([AB0])'	385,640,1149,1583
'(?i)([ -](regular|plain|italic|oblique|(semi)?bold|(ultra)?light|extra|condensed))+$'	642,776,971,1203
'(?i)([ -](regular|plain|italic|oblique|bold|semibold|light|ultralight|extra|condensed))+$'	642,776,971,1203
'(?P<fence>^~{3,})[ ]*(\\{?\\.(?P<lang>[a-zA-Z0-9_-]*)\\}?)?[ ]*\\n(?P<code>.*?)(?P=fence)[ ]*$'	236,247,919,1007
'(?ms)^(?P<package>[^#]\\S+)[\t ]+(?P<question>\\S+)[\t ]+(?P<type>\\S+)[\t ]+(?P<value>[^\n]*)$'	614,947,996,1491
'^(WebSocket-Protocol: [\\x20-\\x7e]+\\r\\n)?(Cookie: [^\\r]*\\r\\n)*(Cookie2: [^\\r]*\\r\\n)?(Cookie: [^\\r]*\\r\\n)*\\r\\n'	1007,1015,1032,1300
u'\\b((?:([\\w-]+):(/{1,3})|www[.])(?:(?:(?:[^\\s&()]|&amp;|&quot;)*(?:[^!"#$%&\'()*+,.:;<=>?@\\[\\]^`{|}~\\s]))|(?:\\((?:[^\\s&()]|&amp;|&quot;)*\\)))+)'	552,606,800,1469
'(?P<year>\\d{4})-(?P<month>\\d{1,2})-(?P<day>\\d{1,2})[T ](?P<hour>\\d{1,2}):(?P<minute>\\d{1,2})(?::(?P<second>\\d{1,2})(?:\\.(?P<microsecond>\\d{1,6})\\d{0,6})?)?(?P<tzinfo>Z|[+-]\\d{1,2}:\\d{1,2})?$'	849,878,1495,1634
'\n                            ^\\s*\n                            (?: (?P<week>   \\d+ (?:\\.\\d*)? ) \\s* [wW]  )? \\s*\n                            (?: (?P<day>    \\d+ (?:\\.\\d*)? ) \\s* [dD]? )? \\s*\n                            (?: (?P<hour>   \\d+ (?:\\.\\d*)? ) \\s* [hH]  )? \\s*\n                            (?: (?P<minute> \\d+ (?:\\.\\d*)? ) \\s* [mM]  )? \\s*\n                            (?: (?P<second> \\d+ (?:\\.\\d*)? ) \\s* [sS]  )? \\s*\n                            $\n                            '	614,947,996,1491
'\n    \\A\\s*                      # optional whitespace at the start, then\n    (?P<sign>[-+]?)            # an optional sign, then\n    (?=\\d|\\.\\d)                # lookahead for digit or .digit\n    (?P<num>\\d*)               # numerator (possibly empty)\n    (?:                        # followed by\n       (?:/(?P<denom>\\d+))?    # an optional denominator\n    |                          # or\n       (?:\\.(?P<decimal>\\d*))? # an optional fractional part\n       (?:E(?P<exp>[-+]?\\d+))? # and optional exponent\n    )\n    \\s*\\Z                      # and optional whitespace to finish\n'	689,1054,1087,1580
'[./]'	1007,1015,1032
'[eE]'	518,787,1280
'[;,]'	1063,1254,1258
'[,;]'	262,267,268
'^[67]'	241,874,1249
'[[*?]'	1007,1015,1032
'[\n]+'	538,733,1288
'^[ab]$'	873,1580,1592
'([}{])'	52,188,597
'h[23]$'	557,1223,1420
'<H[13]'	1007,1015,1032
'[\r\n]'	43,826,1386
'[ ]+\t'	61,166,410
'[kK]ey'	1007,1015,1032
u'[\\t]'	304,1025,1322
'[%\\\\]'	1007,1015,1032
'^([ ]*)'	819,1317,1501
'[\n ]+$'	794,1025,1379
'^[67]\\.'	241,874,1249
'([ ]+)\t'	61,166,410
'([\\.,])'	1415,1469,1580
'[-/.: ]+'	1269,1469,1498
'[./\\\\]'	422,747,1517
'^[78]\\.'	241,874,1249
'[\\[\\]]'	560,767,1328
'[Tt ].*$'	813,927,1003
'\\\\?[()]'	252,1087,1495
'[\n\t\r}]'	1630,1632,1639
'[pP]ython'	12,1054,1087
'([sh]db)\\s'	560,1317,1501
'[ \t]+(?=\n)'	113,147,181
'^["<].*[>"]$'	0,139,785
'^[0-9]+[Ee]$'	794,1025,1379
'^\\${\\d+[:}]'	52,188,597
'\\s*/[/*]\\s*'	557,1223,1420
'[ \t]*\n[ \t]*'	526,1046,1642
'[Vv]ersion .*?,'	560,1317,1501
'[+-]?(\\d*)(.*)'	247,919,1007
'^[\'"](.*)[\'"]$'	308,743,1216
'[\\+-]?[0-9\\.]*'	813,927,1003
'else[ \\f\\t]+if'	53,171,1381
'(?<![\\\\])(\\s)'	119,225,976
'^(.+)[:(]\\d+[:)]'	306,322,464
'^@[Dd][Aa][Tt][Aa]'	531,832,846
'ERROR[: ]|failed: '	1025,1322,1505
'(^|/)Change[Ll]og$'	526,1046,1642
'(.*?)([1aAiI])(.*)'	518,757,787
'[\\/][^\\/]+[\\/]?$'	532,577,1314
'^[cC](\\:[\\\\\\/]+)'	1007,1015,1032
'HTTP/1.[01] ([0-9]+)'	552,800,1469
'ustar *\x00|[ \x00]*$'	1269,1469,1498
'^([^<]+)[<]?(.*)[>]?$'	241,874,1249
'.*(\\.ipy|\\.py[w]?)$'	422,747,1517
'(?<![\\\\\\=\\:])(\\s)'	119,225,976
'.*(\\.so|\\.py[cod]?)$'	422,747,1517
"'([..\\n]+)'\\s+(..+$)"	531,832,846
'VmRSS:[\\t ]*(\\d+) kB'	560,1317,1501
'([A-Z][a-z]+[A-Z][^ ]+)'	1269,1469,1498
'^(.*)~([+-][0-9]{2})00$'	1269,1469,1498
'^<type [\'"](.+)[\'"]>$'	498,602,1495
'([\\[\\]#$%&_{}^~\\\\])'	557,1223,1420
'VmSwap:[\\t ]*(\\d+) kB'	560,1317,1501
'([0-9]+)([DdHhMm]|[sS]?)'	1004,1075,1495
'^[ \t]*import[ \t]+([^#]+)'	12,1054,1087
'^[http|file|chrome|about].*'	1007,1015,1032
'^RADIO/radio[.](.+[.])?img$'	968,1016,1116
'^([MAGCUD_ ][MAGCUD_ ]) (.+)'	241,874,1249
'^([^.]+)[.]([^.]+)[.]?([^.]*)'	241,874,1249
'^(\\d+\\.|[-*|]|\\[\\d+\\]) .'	462,690,1119
'(\\d+)(\\s+\\d){3,}\\s+([TF])'	262,267,268
'%.*coding[:=]\\s*([-\\w\\.]+)'	317,428,466
'(\\d+)(\\s+\\d+){2}\\s+([TF])'	262,267,268
'(?P<key>[A-Z]+)="(?P<val>[^"]+)'	1007,1015,1032
'\\bnot\\s+\\S+?\\s+i[sn]\\s\\S+'	147,181,1087
'^[ \t]*from[ \t]+([^ \t]+)[ \t]+'	12,1054,1087
'^([ \\t]*>>> |^[ \\t]*\\.\\.\\. )'	422,747,1517
'<toolset.*version>(\\d+)[.](\\d*)'	241,874,1249
'name=[\'"]{0,1}([-\\w\\.]*?)[\'"]'	247,919,1007
'&#([xX]?[0-9a-fA-F]+)[^0-9a-fA-F]'	31,476,732
'^([^:]+): (\\w+) \\(([\\w\\.]+)\\)'	122,1015,1032
'^([0-9]{4})~([01][0-9])~([0-9]{2})$'	1269,1469,1498
'([^ ]+) ([^ ]+)(( HTTP/([0-9.]+))$|$)'	107,1225,1638
'\\[(?P<type>[WE])(?P<remainder>.*?)\\]'	167,640,662
'(.*[Jj]amfile\\.v2)|(.*[Bb]uild\\.jam)'	241,874,1249
'[ \t]+([A-Z0-9]+) \\/\\* (.+) \\*\\/,\n'	289,638,956
'([^<>= ]+)(?:\\s*([<>=]{1,2})\\s*(.*))?$'	242,930,1323
'(?:[^\\s])(\\s*)(?:[-+*/|!<=>%&^]+)(\\s*)'	640,945,1505
'^@[Rr][Ee][Ll][Aa][Tt][Ii][Oo][Nn]\\s*(\\S*)'	531,832,846
'\\s?((["][^"]*["]|[\'][^\']*[\'])\\s+dluohs)'	1025,1215,1423
'^([,;/%?]|!!?|\\s*)\\s*([\\w\\.]+)(\\s+.*$|$)'	422,602,747
'get_ipython\\(\\)\\.magic\\(u?["\\\']%?autopx'	747,1517,1580
'^([ \t]*class +[a-zA-Z0-9_]+) *( *) *((=.*)?):'	12,1054,1087
'.*?href\\s*=\\s*[\\\'"](?P<href>.*?)[\\\'"].*?'	278,432,1366
'&(?:#((?:\\d+)|(?:[xX][0-9a-fA-F]+));?|(\\w+);)'	113,147,181
'^@[Aa][Tt][Tt][Rr][Ii][Bb][Uu][Tt][Ee]\\s*(..*$)'	531,832,846
u'[\\t !"#$%&\\\'()*\\-/<=>?@\\[\\\\\\]^_`{|},.]+'	571,1232,1313
'[-+]?(\\d+(\\.\\d*)?|\\d*\\.\\d+)([eE][-+]?\\d+)?'	758,1246,1540
'^(.+)[ \\._\\-]([0-9]{1})([0-9]{2})[\\._ -][^\\/]*$'	506,1269,1498
'goog\\.provide\\s*\\(\\s*[\'"]([^\\)]+)[\'"]\\s*\\)'	240,343,1336
'goog\\.require\\s*\\(\\s*[\'"]([^\\)]+)[\'"]\\s*\\)'	240,343,1336
'^(.+)[ \\._\\-]([0-9]{2})([0-9]{2,3})[\\._ -][^\\/]*$'	506,1269,1498
'[ \t]+([A-Z0-9]+) \\/\\* PBXTargetDependency \\*\\/,\n'	289,638,956
'(?P<name>[\\w-]+)\\s*\\(\\s*(==\\s*)?(?P<ver>[^)]+)\\)$'	1263,1580,1594
'^([ \\t]*In \\[\\d+\\]: |^[ \\t]*\\ \\ \\ \\.\\.\\.+: )'	422,747,1517
'^(?P<prefix>(\\d+\\.)*\\d+)(?P<c>[ab])(?P<suffix>\\d+)$'	1007,1015,1032
'^[ \t]+def +[a-zA-Z0-9_]+ *( *self *, *(( *(.*) *)) *) *:'	12,1054,1087
'(.*)\\.([0123456789]+)\\.([0123456789]+)\\.([0123456789]+)$'	241,874,1249
'(^|\n)\\d+-\\d+-\\d+[ \t]+((\\w|[.-])+[ \t]+)+<[^\n>]+>(?=$|\n)'	526,1046,1642
'^([^/]|/[^/])*\\bvoid\\s+([Tt]est\\w+)\\s*\\(\\s*(void)?\\s*\\)'	0,139,785
'^([MACDRUG_ ][MACDRUG_ ])(.)(.)   .   [^0-9-]+(\\d+|-)(.{23})(.+)'	241,874,1249
'(?P<option>[^:=\\s][^:=]*)\\s*(?:(?P<vi>[:=])\\s*(?P<value>.*))?$'	381,1054,1087
'^([0-9]{4})~([01][0-9])~([0-9]{2})~([0-9]{1,2})~([0-9]{2})~([0-9]{2})$'	1269,1469,1498
'^([01]?[0-9])~([0-9]{2})~([0-9]{4})~([0-9]{1,2})~([0-9]{2})~([0-9]{2})$'	1269,1469,1498
'^([0-9a-f]+)-([0-9a-f]+)\\s+[-r][-w][-x][-p]\\s+(?:\\S+\\s+){3}\\[heap\\]$'	1007,1015,1032
'^((?:|sh\\S*?|\\w+\\S+[@:]\\S+(?:\\s+\\S+)?|\\[\\S+[@:][^\\n]+\\].+)[$#%])(.*\\n?)'	251,498,1267
'([=!]=|is|is\\s+not)\\s*type(?:s\\.(\\w+)Type|\\(\\s*(\\(\\s*\\)|[^)]*[^ )])\\s*\\))'	640,945,1505
u'^(?:\\s*[-+]\\s*\\([a-zA-Z_$]\\w*\\)|@implementation)\\s*[a-zA-Z_$][\\w]*.*?\\s*(\\{)\\s*(?:$|//.*$)'	304,1025,1322
'^\\(?(?P<re>[\\+\\-]?\\d*\\.?\\d*(e[\\+\\-]?\\d+)?)??(?P<im>[\\+\\-]?\\d*\\.?\\d*(e[\\+\\-]?\\d+)?j)?\\)?$'	518,620,787
'(\'[^\']*\'|"[^"]*"|::|//?|\\.\\.|\\(\\)|[/.*:\\[\\]\\(\\)@=])|((?:\\{[^}]+\\})?[^/\\[\\]\\(\\)@=\\s]+)|\\s+'	1054,1087,1580
'[a-zA-Z_][0-9a-zA-Z_+-]*|[0-9+-][0-9a-zA-Z_.+-]*|"([^"\n\\\\]|\\\\.)*("|\\\\?$)|\'([^\'\n\\\\]|\\\\.)*(\'|\\\\?$)'	1004,1495,1580
'%(?:(?P<cn>[0-9]+)\\$)?(?P<width>[0-9]+)?(?:.(?P<pres>[0-9]+))?(?P<size>[hL]|(?:ll?))?(?P<type>[dciouxXefgpCSsn])'	1007,1015,1032
'(?P<replace>(?P<type>[\\^](?:(?:!?@?)|\\|)?)(?P<command_string>[-a-zA-Z0-9_.]+)?\\((?P<is_array>\\s*\\[?)(?P<content>.*?)(\\]?)\\))'	534,1007,1466
u'(?x)\n        \\s*((continue|do|for|function|if|else|return|switch|while|with)\\b|\\[+\\s*[a-zA-Z_$]\\w*\\s+[a-zA-Z_$]\\w*\\s*[:\\]])\n    '	304,1025,1322
'(?P<year>\\d{4})-(?P<month>\\d{1,2})-(?P<day>\\d{1,2})[T ](?P<hour>\\d{1,2}):(?P<minute>\\d{1,2})(?::(?P<second>\\d{1,2})(?:\\.(?P<microsecond>\\d{1,6})\\d{0,6})?)?(?P<tzinfo>Z|[+-]\\d{2}:?\\d{2})?$'	1012,1086,1580
u'(?x)\n        (?P<expression>.*)              # Everything up to the line separator\n        (?P<separator>[,;+\\-/*%^&|=\\\\]) # The line separator\n        \\s*                             # Optional whitespace after\n        $                               # End of expression\n    '	304,1025,1322
u'(?x)\n        (?P<indent>\\s*)         # indent before a var keyword\n        (?P<var>var\\s+)         # var keyword and whitespace after\n        (?P<identifier>[a-zA-Z_$]\\w*)\\s*\n        (?:\n            (?P<assignment>=)\\s*\n            (?P<expression>.*)\n            |\n            (?P<separator>[,;+\\-/*%^&|=\\\\])\n        )\n    '	304,1025,1322
'(?x)\n    ^\n    (?: (\\w+):                     )?  # optional label at start of line\n        \\s* (\\.?\\w+)                   # optional spaces, (pseudo-)opcode\n    (?: \\s+ ([+-]?\\w+ | \\([^)]*\\)) )?  # optional first immediate operand\n    (?: \\s+ ([\\w,-]+  | \\([^)]*\\)) )?  # optional second immediate operand\n    (?: \\s* (?:\\#.*)               )?  # optional spaces and comment\n    $'	1007,1015,1032
'\n    (?P<escape_hex>\\{\\#x(?P<escape_hex_val>[0-9a-fA-F]+)\\})\n  | (?P<escape_dec>\\{\\#(?P<escape_dec_val>[0-9]+)\\})\n  | (?P<escape_lbrace>\\{\\{)\n  | (?P<escape_rbrace>\\}\\})\n  | (?P<attr>\\{\n        (?P<attr_name>[^ \\{\\}]+)\\s+\n        (?P<attr_val>[^\\}]+)\\})\n  | (?P<nl_hard1>\\n(?=[ \\t]))\n  | (?P<nl_hard2>\\{\\}\\n)\n  | (?P<nl_soft>\\n(?=\\S))\n  | (?P<nl_para>\\n\\n+)\n  | (?P<text>[^\\{\\}\\n]+)\n    '	518,757,787
'(?x)\n        ^ OPDEF \\( (JSOP_\\w+),         \\s*  # op\n                   ([0-9]+),           \\s*  # val\n                   ("[^"]+" | [\\w_]+), \\s*  # name\n                   ("[^"]+" | [\\w_]+), \\s*  # image\n                   (-1|[0-9]+),        \\s*  # len\n                   (-1|[0-9]+),        \\s*  # uses\n                   (-1|[0-9]+),        \\s*  # defs\n                   ([0-9]+),           \\s*  # prec\n                   ([\\w_| ]+)          \\s*  # format\n                \\) \\s* $'	1007,1015,1032
'\n    (?:\n        ([a-zA-Z_][a-zA-Z0-9_]*)\\s*=\\s*list\\(\n            (\n                (?:\n                    \\s*\n                    (?:\n                        (?:".*?")|              # double quotes\n                        (?:\'.*?\')|              # single quotes\n                        (?:[^\'",\\s\\)][^,\\)]*?)  # unquoted\n                    )\n                    \\s*,\\s*\n                )*\n                (?:\n                    (?:".*?")|              # double quotes\n                    (?:\'.*?\')|              # single quotes\n                    (?:[^\'",\\s\\)][^,\\)]*?)  # unquoted\n                )?                          # last one\n            )\n        \\)\n    )\n'	332,689,1007
